payment_id,user_id,subscription_id,payment_date,amount,payment_method,status
40,4105,6700,2023-08-06,199.99,credit_card,success
41,2723,12671,2023-07-27,19.99,paypal,refunded
42,2316,6448,2024-10-12,9.99,credit_card,refunded
43,2531,10188,2025-06-29,19.99,paypal,refunded
44,9540,6769,2024-04-20,19.99,credit_card,success
45,1331,8298,2023-11-12,9.99,credit_card,success
46,2938,2133,2023-11-05,9.99,credit_card,refunded
47,3716,8183,2023-08-18,199.99,paypal,success
48,8227,2871,2023-11-04,19.99,credit_card,failed
49,9269,5453,2024-05-10,199.99,credit_card,success
50,7934,12067,2025-03-02,19.99,credit_card,success
51,4051,10000,2024-06-13,19.99,credit_card,refunded
52,8450,5179,2024-02-26,199.99,paypal,refunded
53,5509,14790,2024-04-01,9.99,credit_card,failed
54,3927,8582,2023-09-21,19.99,paypal,success
55,4248,3019,2024-03-12,19.99,credit_card,refunded
56,7064,10496,2024-06-24,199.99,paypal,failed
57,5991,2067,2024-07-14,9.99,credit_card,failed
58,4045,8166,2023-08-14,19.99,paypal,refunded
59,7674,6379,2025-02-07,9.99,credit_card,success
60,4033,5793,2025-04-28,19.99,paypal,success
61,3392,7784,2023-07-17,19.99,credit_card,success
62,6162,13621,2023-10-16,199.99,paypal,refunded
63,8428,871,2025-02-06,9.99,paypal,success
64,4630,14002,2024-11-16,9.99,paypal,success
65,1087,2818,2025-04-24,9.99,paypal,failed
66,4339,13803,2024-06-27,9.99,paypal,failed
67,5435,9660,2024-08-30,19.99,paypal,failed
68,9072,9109,2024-12-04,199.99,paypal,refunded
69,9404,14030,2024-05-23,199.99,credit_card,refunded
70,5975,5912,2024-01-04,19.99,credit_card,success
71,724,8586,2023-10-19,9.99,paypal,success
72,9944,9856,2025-03-18,199.99,credit_card,failed
73,5967,2414,2023-08-26,199.99,paypal,success
74,4025,6184,2024-02-20,199.99,paypal,failed
75,5017,7105,2023-08-19,9.99,credit_card,refunded
76,7547,10141,2023-07-07,19.99,paypal,failed
77,7187,2406,2023-10-30,19.99,credit_card,failed
78,9526,1714,2025-06-28,199.99,paypal,refunded
79,26,11942,2024-11-22,9.99,paypal,refunded
80,3523,709,2025-03-30,19.99,paypal,success
81,7880,8632,2024-10-08,19.99,paypal,refunded
82,6647,11174,2023-08-25,199.99,credit_card,failed
83,364,13177,2024-09-30,199.99,paypal,failed
84,3852,11324,2024-10-05,19.99,credit_card,refunded
85,5001,4858,2025-07-03,199.99,credit_card,refunded
86,248,5858,2023-07-15,199.99,paypal,success
87,2917,10241,2023-09-09,199.99,paypal,failed
88,3965,1137,2023-08-17,9.99,paypal,failed
89,8930,2791,2024-04-12,9.99,paypal,refunded
90,9743,6233,2023-10-01,9.99,paypal,success
91,9020,13217,2023-08-28,19.99,credit_card,failed
92,6973,7957,2024-04-21,19.99,paypal,failed
93,7431,5444,2024-01-09,9.99,paypal,success
94,7351,4314,2024-02-10,199.99,paypal,failed
95,8693,9939,2025-06-13,199.99,credit_card,success
96,9575,4401,2025-06-30,19.99,credit_card,success
97,3865,9744,2024-06-22,19.99,paypal,success
98,6276,2594,2024-04-14,199.99,credit_card,refunded
99,7416,9445,2023-10-04,199.99,credit_card,success
100,1991,14290,2023-07-06,9.99,paypal,refunded
101,5291,4074,2024-01-20,199.99,credit_card,failed
102,2070,10890,2023-09-15,199.99,paypal,failed
103,760,4309,2024-08-06,19.99,credit_card,success
104,9475,10956,2025-03-21,199.99,credit_card,failed
105,3716,8183,2023-08-18,199.99,credit_card,refunded
106,970,1700,2024-04-21,9.99,paypal,failed
107,7938,2842,2025-06-05,19.99,paypal,success
108,9046,8412,2025-01-10,199.99,paypal,refunded
109,2546,7640,2024-02-29,9.99,paypal,refunded
110,991,6740,2024-07-23,9.99,paypal,refunded
111,7421,14983,2023-07-10,199.99,paypal,success
112,7086,13646,2024-12-28,199.99,paypal,refunded
113,3163,5972,2023-11-02,9.99,credit_card,failed
114,3422,14018,2024-07-18,199.99,credit_card,refunded
115,1013,7486,2024-07-04,9.99,paypal,refunded
116,3436,6167,2025-04-30,9.99,credit_card,success
117,2299,10726,2024-06-22,19.99,credit_card,failed
118,8327,7709,2023-08-11,19.99,paypal,refunded
119,7730,10892,2025-03-17,199.99,paypal,success
120,3244,796,2024-01-07,19.99,paypal,failed
121,1565,14143,2025-03-17,9.99,credit_card,refunded
122,612,13849,2024-03-29,9.99,paypal,refunded
123,5716,918,2025-04-14,199.99,credit_card,refunded
124,6817,12395,2025-01-25,199.99,paypal,success
125,7581,3173,2024-11-01,199.99,credit_card,failed
126,7698,12761,2024-11-14,199.99,paypal,success
127,5459,12389,2024-08-02,19.99,paypal,success
128,9508,13762,2023-08-10,19.99,paypal,refunded
129,4293,6545,2023-09-30,19.99,credit_card,failed
130,6580,11802,2023-11-17,9.99,paypal,failed
131,9652,8935,2024-02-28,9.99,paypal,refunded
132,299,13293,2025-06-20,19.99,credit_card,failed
133,7733,13463,2024-08-11,9.99,credit_card,refunded
134,7682,4208,2023-11-30,199.99,paypal,refunded
135,964,12083,2024-11-13,199.99,credit_card,refunded
136,4185,11639,2024-06-08,199.99,paypal,success
137,4059,3274,2025-02-27,199.99,paypal,success
138,8042,7250,2024-12-08,199.99,paypal,success
139,5824,3751,2024-07-11,19.99,credit_card,success
140,4045,12543,2025-04-10,199.99,credit_card,failed
141,5865,1086,2023-11-12,19.99,credit_card,refunded
142,8722,2456,2025-03-20,199.99,paypal,refunded
143,9655,926,2023-12-17,9.99,paypal,refunded
144,6252,710,2025-05-13,19.99,paypal,refunded
145,2206,2739,2023-07-30,199.99,credit_card,failed
146,882,10145,2023-08-24,9.99,paypal,failed
147,290,4479,2023-09-28,19.99,paypal,failed
148,7009,332,2024-10-25,19.99,paypal,failed
149,2480,13065,2025-03-17,19.99,paypal,success
150,2304,3,2023-12-01,199.99,paypal,success
151,5285,10606,2025-04-05,9.99,credit_card,refunded
152,5126,616,2024-12-21,19.99,credit_card,success
153,3618,1027,2024-09-17,19.99,credit_card,failed
154,131,65,2025-04-12,199.99,paypal,success
155,9523,1020,2024-06-16,19.99,credit_card,success
156,7528,10077,2024-10-27,19.99,credit_card,failed
157,7173,13645,2023-07-27,9.99,paypal,success
158,2498,12288,2024-04-08,9.99,credit_card,refunded
159,9391,888,2024-12-09,19.99,paypal,success
160,4288,4030,2024-05-07,19.99,credit_card,failed
161,528,12056,2024-06-21,199.99,paypal,success
162,9557,11535,2024-11-18,19.99,paypal,failed
163,1034,6569,2024-04-19,19.99,paypal,failed
164,8282,586,2024-02-10,199.99,paypal,success
165,7101,11525,2024-12-19,19.99,paypal,refunded
166,493,11145,2024-02-03,199.99,paypal,success
167,3257,10556,2025-06-04,199.99,paypal,refunded
168,9431,2317,2024-10-06,19.99,credit_card,success
169,3568,2729,2025-03-08,9.99,credit_card,success
170,4974,10238,2024-12-18,199.99,paypal,success
171,2173,426,2025-06-10,199.99,paypal,failed
172,6149,14771,2024-01-03,199.99,paypal,refunded
173,1344,14291,2025-05-24,9.99,credit_card,failed
174,9470,9304,2023-12-11,9.99,credit_card,success
175,9897,5986,2024-06-07,199.99,paypal,success
176,8741,10558,2023-11-15,199.99,credit_card,refunded
177,7641,13534,2024-04-22,19.99,paypal,success
178,7815,2037,2025-03-07,19.99,paypal,failed
179,9586,13787,2025-02-20,199.99,paypal,failed
180,8140,5094,2025-04-18,199.99,credit_card,refunded
181,585,6912,2025-01-15,9.99,paypal,success
182,4525,1918,2025-03-12,9.99,paypal,refunded
183,1369,5335,2023-08-23,19.99,paypal,refunded
184,291,10735,2024-11-10,9.99,paypal,failed
185,3110,10583,2024-03-08,199.99,credit_card,failed
186,3735,10495,2024-11-05,19.99,credit_card,failed
187,4899,11939,2024-06-22,9.99,credit_card,failed
188,5052,11084,2024-07-04,19.99,paypal,failed
189,4368,9064,2024-03-09,199.99,credit_card,refunded
190,3133,13818,2025-04-03,199.99,paypal,refunded
191,3056,13866,2024-03-18,19.99,credit_card,failed
192,9422,10961,2024-01-11,199.99,credit_card,failed
193,1383,5381,2025-02-22,19.99,credit_card,success
194,4944,10403,2024-10-03,199.99,paypal,failed
195,1068,14331,2025-04-25,199.99,paypal,success
196,8424,198,2024-03-17,9.99,paypal,refunded
197,7235,268,2025-03-05,19.99,credit_card,failed
198,9571,3107,2023-12-20,9.99,credit_card,failed
199,8479,5474,2024-11-08,19.99,credit_card,success
200,452,10433,2024-06-12,9.99,credit_card,refunded
201,9317,10253,2023-07-11,19.99,paypal,refunded
202,391,1274,2023-12-13,199.99,credit_card,success
203,3957,12483,2024-03-24,9.99,credit_card,refunded
204,209,5557,2024-02-12,19.99,paypal,failed
205,4384,588,2024-05-08,19.99,credit_card,failed
206,5354,470,2025-04-04,9.99,credit_card,failed
207,8548,1416,2023-07-26,199.99,paypal,refunded
208,5190,4869,2024-04-05,19.99,credit_card,failed
209,9447,11360,2025-01-17,199.99,credit_card,failed
210,6430,12320,2024-07-28,199.99,credit_card,failed
211,8260,3884,2023-09-14,199.99,paypal,success
212,6346,10046,2023-08-10,199.99,paypal,success
213,735,472,2024-06-17,19.99,paypal,failed
214,3612,10218,2025-02-25,9.99,paypal,refunded
215,5626,10806,2023-11-15,199.99,paypal,failed
216,1004,60,2025-01-23,9.99,credit_card,refunded
217,6364,9593,2024-11-03,199.99,paypal,refunded
218,3736,9936,2023-07-25,19.99,credit_card,refunded
219,6923,10864,2023-07-14,9.99,credit_card,success
220,4520,10564,2024-02-06,19.99,paypal,failed
221,6966,14048,2025-02-28,9.99,paypal,success
222,4540,190,2023-12-31,19.99,credit_card,refunded
223,1304,11414,2024-09-24,199.99,paypal,failed
224,6454,2241,2023-09-11,19.99,paypal,success
225,8882,8877,2025-04-29,19.99,credit_card,success
226,2713,9187,2023-10-14,199.99,paypal,success
227,7481,4946,2025-02-01,19.99,credit_card,success
228,4596,2923,2025-02-16,199.99,paypal,success
229,4676,9788,2025-06-28,9.99,paypal,failed
230,4482,9703,2025-04-01,199.99,credit_card,failed
231,6998,4827,2025-02-27,199.99,paypal,refunded
232,1243,10143,2024-08-08,199.99,paypal,success
233,1328,7331,2023-11-04,199.99,paypal,failed
234,8355,4758,2024-09-28,19.99,paypal,success
235,2088,8739,2024-03-27,9.99,credit_card,success
236,662,3951,2024-10-28,19.99,paypal,success
237,5829,9263,2024-10-21,199.99,credit_card,failed
238,7043,548,2023-09-02,9.99,paypal,failed
239,1060,14041,2024-11-21,199.99,paypal,success
240,6634,8621,2024-10-30,19.99,credit_card,failed
241,5713,8145,2023-08-16,9.99,credit_card,refunded
242,1724,2606,2025-01-01,199.99,paypal,failed
243,9701,9512,2023-09-05,199.99,paypal,failed
244,1910,8593,2024-03-18,9.99,credit_card,failed
245,1344,9423,2023-09-24,199.99,credit_card,success
246,9602,13722,2025-04-19,199.99,paypal,success
247,8678,11353,2024-07-20,199.99,credit_card,success
248,5128,5027,2024-07-06,199.99,paypal,refunded
249,5626,13322,2024-07-07,9.99,credit_card,refunded
250,9904,13609,2024-11-01,199.99,credit_card,success
251,330,10273,2025-07-04,19.99,paypal,refunded
252,8376,11044,2024-03-07,9.99,credit_card,failed
253,8754,5867,2024-07-19,199.99,paypal,success
254,2226,3673,2024-10-10,9.99,paypal,success
255,6821,10712,2025-05-19,9.99,paypal,success
256,5726,8604,2023-12-17,9.99,paypal,refunded
257,665,11590,2024-02-24,9.99,paypal,refunded
258,1526,13049,2025-05-19,19.99,credit_card,success
259,3727,13449,2024-10-24,199.99,paypal,failed
260,248,7980,2024-11-11,199.99,paypal,refunded
261,3334,11785,2025-04-30,199.99,paypal,success
262,3549,14669,2023-08-30,199.99,paypal,refunded
263,2315,8618,2023-08-31,9.99,credit_card,failed
264,9006,794,2025-02-09,199.99,paypal,failed
265,1370,5130,2024-05-06,9.99,credit_card,success
266,1836,5462,2024-05-22,19.99,credit_card,failed
267,3894,7579,2024-01-07,199.99,credit_card,refunded
268,4719,12136,2025-04-03,199.99,paypal,refunded
269,5015,1391,2024-12-26,19.99,credit_card,refunded
270,64,633,2025-01-10,9.99,credit_card,success
271,1775,19,2024-09-21,19.99,credit_card,success
272,9201,5587,2024-12-29,9.99,credit_card,refunded
273,4453,7780,2024-10-13,199.99,paypal,success
274,9713,7599,2024-04-03,9.99,credit_card,refunded
275,18,6434,2024-11-11,199.99,credit_card,success
276,6901,4577,2024-12-16,19.99,paypal,refunded
277,4728,8067,2024-05-12,199.99,credit_card,failed
278,3480,14967,2024-03-20,19.99,credit_card,refunded
279,7971,11029,2023-10-01,199.99,credit_card,success
280,4770,9957,2025-02-05,9.99,paypal,refunded
281,225,10551,2023-12-14,9.99,paypal,refunded
282,8871,5879,2024-07-29,199.99,credit_card,refunded
283,8389,1159,2025-07-01,199.99,paypal,failed
284,6970,10307,2023-12-17,19.99,credit_card,failed
285,4887,14320,2024-08-27,19.99,credit_card,failed
286,3415,509,2024-05-03,9.99,credit_card,refunded
287,1530,9336,2024-07-15,19.99,credit_card,success
288,3084,8424,2024-03-12,9.99,paypal,success
289,5796,1857,2024-01-11,19.99,paypal,refunded
290,1231,2148,2024-09-16,19.99,credit_card,failed
291,4297,34,2023-08-14,9.99,paypal,refunded
292,4035,6225,2023-08-01,19.99,paypal,refunded
293,4473,8280,2023-10-12,9.99,paypal,failed
294,5518,8938,2024-05-11,199.99,paypal,refunded
295,5141,4716,2025-04-28,199.99,credit_card,success
296,9518,7404,2025-02-06,199.99,credit_card,success
297,749,2193,2023-11-30,199.99,credit_card,success
298,1655,6684,2024-05-15,9.99,credit_card,failed
299,4839,11591,2023-11-19,9.99,credit_card,failed
300,1315,2627,2025-06-14,199.99,paypal,failed
301,3904,3554,2024-09-24,199.99,paypal,refunded
302,6781,11120,2024-04-15,19.99,paypal,failed
303,7270,9350,2023-09-01,199.99,credit_card,success
304,177,8236,2023-11-26,199.99,paypal,refunded
305,5378,4352,2025-03-12,199.99,credit_card,failed
306,8515,2243,2023-09-17,19.99,credit_card,failed
307,1945,276,2024-03-21,199.99,credit_card,failed
308,4898,908,2024-09-29,19.99,credit_card,failed
309,923,673,2025-01-11,199.99,credit_card,refunded
310,9419,13984,2024-12-20,19.99,paypal,failed
311,3963,932,2024-02-18,9.99,credit_card,failed
312,6054,13284,2023-10-18,9.99,credit_card,failed
313,5132,203,2025-06-22,9.99,credit_card,refunded
314,2235,6292,2024-06-19,199.99,credit_card,failed
315,5454,11427,2024-04-30,19.99,credit_card,failed
316,7842,1113,2025-05-04,9.99,paypal,failed
317,4076,1371,2023-07-13,9.99,paypal,failed
318,5380,1424,2023-10-17,199.99,credit_card,refunded
319,9512,2913,2023-11-17,199.99,paypal,success
320,4973,903,2023-07-10,199.99,credit_card,success
321,7098,14140,2024-10-01,9.99,credit_card,failed
322,7148,12294,2025-06-28,199.99,credit_card,success
323,1428,9876,2024-11-16,19.99,credit_card,success
324,3965,2540,2024-12-21,19.99,credit_card,refunded
325,4816,11159,2023-07-06,199.99,paypal,refunded
326,3086,4590,2025-01-08,9.99,paypal,failed
327,7253,1555,2025-03-27,199.99,credit_card,success
328,1418,7654,2023-08-02,19.99,paypal,refunded
329,3588,11254,2024-08-29,19.99,credit_card,failed
330,5712,13318,2023-10-18,9.99,paypal,failed
331,9062,123,2025-01-07,19.99,paypal,refunded
332,6489,6609,2024-05-27,19.99,paypal,failed
333,845,10627,2023-07-27,19.99,credit_card,success
334,5413,14959,2023-12-09,199.99,paypal,success
335,5274,8090,2024-01-08,9.99,paypal,success
336,5907,3789,2024-07-20,19.99,paypal,refunded
337,1317,9383,2025-02-19,9.99,credit_card,refunded
338,3644,3846,2024-12-30,199.99,credit_card,success
339,4480,2867,2023-09-17,9.99,paypal,success
340,3234,1454,2024-12-13,199.99,paypal,refunded
341,5980,11102,2025-06-03,199.99,credit_card,failed
342,604,4406,2024-04-15,19.99,credit_card,success
343,7968,1233,2025-04-05,9.99,credit_card,refunded
344,6424,2700,2023-12-09,19.99,paypal,success
345,8318,5791,2024-08-29,9.99,paypal,failed
346,4839,8404,2024-11-29,199.99,paypal,failed
347,2310,6582,2025-07-03,19.99,paypal,failed
348,4808,6331,2025-05-21,199.99,paypal,failed
349,9865,395,2024-11-03,9.99,paypal,failed
350,896,5134,2023-11-12,9.99,credit_card,refunded
351,9945,4371,2024-10-12,19.99,credit_card,failed
352,2310,2096,2024-05-22,9.99,paypal,failed
353,2739,8214,2025-06-08,19.99,credit_card,refunded
354,1845,5225,2025-05-08,9.99,credit_card,refunded
355,3163,5972,2023-11-02,9.99,credit_card,success
356,983,5905,2024-03-20,19.99,paypal,refunded
357,5733,4347,2023-07-11,199.99,paypal,refunded
358,6126,13601,2025-04-28,19.99,paypal,refunded
359,5051,14688,2024-03-23,9.99,credit_card,refunded
360,7781,4853,2024-02-16,9.99,paypal,failed
361,467,3532,2024-04-23,19.99,paypal,success
362,9201,5587,2024-12-29,9.99,paypal,refunded
363,2250,2503,2024-12-30,9.99,credit_card,refunded
364,4721,9202,2024-09-21,9.99,credit_card,refunded
365,3731,3739,2025-06-03,9.99,credit_card,failed
366,5361,47,2025-02-14,19.99,credit_card,refunded
367,9225,7864,2025-02-04,9.99,paypal,refunded
368,9793,399,2023-11-11,199.99,paypal,failed
369,344,9734,2024-02-07,19.99,paypal,refunded
370,6134,13497,2023-10-10,19.99,paypal,refunded
371,1331,13441,2025-03-02,199.99,credit_card,success
372,4491,12430,2024-06-03,199.99,paypal,success
373,4384,588,2024-05-08,19.99,credit_card,refunded
374,5992,9022,2024-07-29,19.99,paypal,failed
375,6841,14164,2023-11-15,199.99,credit_card,success
376,809,849,2024-08-09,199.99,paypal,failed
377,9066,3282,2024-12-28,9.99,credit_card,success
378,1283,13490,2024-03-13,19.99,paypal,failed
379,7907,14275,2023-12-02,19.99,paypal,success
380,1004,5976,2024-07-11,199.99,credit_card,refunded
381,8914,13631,2024-05-08,19.99,paypal,failed
382,4124,10144,2025-02-05,9.99,credit_card,refunded
383,5594,7260,2023-12-16,199.99,credit_card,success
384,5378,4352,2025-03-12,199.99,paypal,refunded
385,7863,8780,2025-05-20,19.99,credit_card,refunded
386,3736,3857,2023-12-04,199.99,paypal,failed
387,2332,1978,2024-01-14,199.99,paypal,success
388,7373,478,2024-03-05,199.99,credit_card,failed
389,7867,6622,2024-01-28,9.99,paypal,failed
390,3683,3868,2023-11-05,9.99,credit_card,refunded
391,3879,13327,2024-04-07,199.99,credit_card,failed
392,9528,8896,2023-10-03,19.99,credit_card,refunded
393,7871,1507,2024-03-19,9.99,credit_card,refunded
394,6610,7938,2025-04-15,199.99,credit_card,failed
395,1373,11406,2024-11-12,9.99,paypal,failed
396,7549,231,2025-05-15,19.99,credit_card,success
397,7905,12361,2024-01-07,9.99,credit_card,success
398,7812,5991,2025-01-21,9.99,paypal,failed
399,9833,3858,2023-11-26,9.99,credit_card,refunded
400,1765,13062,2025-01-24,9.99,credit_card,success
401,7650,12018,2024-06-17,199.99,paypal,refunded
402,5890,6067,2023-07-16,19.99,paypal,failed
403,2326,11509,2023-10-29,9.99,credit_card,refunded
404,7142,11235,2025-05-26,9.99,credit_card,refunded
405,7152,1661,2023-08-29,19.99,credit_card,failed
406,207,317,2025-06-21,19.99,credit_card,failed
407,2840,8047,2024-04-29,19.99,paypal,failed
408,2126,9546,2024-07-17,19.99,paypal,failed
409,9728,8982,2023-10-28,19.99,paypal,failed
410,8411,1427,2025-02-21,19.99,paypal,refunded
411,4144,1741,2025-02-04,9.99,credit_card,success
412,135,4909,2023-08-04,19.99,paypal,success
413,2434,9405,2024-11-15,9.99,paypal,refunded
414,1765,13062,2025-01-24,9.99,credit_card,failed
415,9460,10872,2025-04-12,19.99,credit_card,refunded
416,1350,132,2024-01-06,9.99,paypal,success
417,2925,11036,2024-04-05,199.99,credit_card,success
418,352,3112,2024-07-25,19.99,paypal,failed
419,3325,117,2024-09-04,199.99,credit_card,success
420,6913,10431,2024-08-30,19.99,credit_card,refunded
421,4334,6730,2024-12-17,199.99,credit_card,failed
422,232,3698,2024-10-10,9.99,paypal,refunded
423,1151,5656,2024-06-18,19.99,paypal,success
424,3054,14437,2024-07-20,9.99,paypal,failed
425,1433,7237,2024-07-21,9.99,credit_card,success
426,8347,7026,2024-01-27,19.99,paypal,failed
427,5546,968,2024-10-30,199.99,credit_card,failed
428,3769,2916,2023-12-24,19.99,paypal,refunded
429,1075,5607,2024-06-08,19.99,credit_card,failed
430,8600,5891,2024-07-21,9.99,paypal,failed
431,3734,10027,2024-04-05,19.99,paypal,success
432,9170,8751,2025-02-22,199.99,credit_card,refunded
433,484,13724,2023-11-18,199.99,credit_card,failed
434,5436,2538,2024-12-31,19.99,paypal,refunded
435,833,5700,2023-09-21,199.99,paypal,success
436,2195,6419,2024-10-02,9.99,credit_card,failed
437,6763,10976,2024-11-16,19.99,paypal,success
438,3827,1735,2024-07-12,19.99,paypal,refunded
439,6109,2048,2025-02-11,9.99,credit_card,success
440,4469,8147,2024-11-22,199.99,credit_card,refunded
441,6833,3915,2024-09-15,19.99,paypal,failed
442,2622,11723,2025-05-20,9.99,paypal,failed
443,4578,11494,2023-12-13,9.99,paypal,failed
444,8328,1108,2024-10-17,19.99,credit_card,failed
445,3720,2295,2024-04-09,199.99,paypal,success
446,5002,3106,2023-12-21,19.99,paypal,failed
447,7973,5088,2023-09-26,199.99,credit_card,failed
448,1517,5012,2024-07-02,19.99,paypal,failed
449,4851,9102,2025-01-09,19.99,credit_card,success
450,876,5230,2023-07-14,199.99,credit_card,failed
451,1521,13397,2025-02-27,199.99,credit_card,failed
452,2716,4863,2024-05-26,199.99,paypal,refunded
453,5964,11707,2025-02-12,199.99,credit_card,failed
454,49,8425,2024-04-14,199.99,credit_card,refunded
455,5145,7944,2024-01-11,19.99,paypal,failed
456,1283,9816,2023-10-13,9.99,credit_card,refunded
457,736,11209,2024-06-03,199.99,paypal,failed
458,8407,5290,2025-01-30,199.99,credit_card,failed
459,6736,4938,2024-04-03,199.99,paypal,failed
460,2073,279,2024-01-11,19.99,credit_card,success
461,1579,11643,2025-06-21,19.99,credit_card,success
462,3975,2443,2023-09-20,9.99,paypal,refunded
463,6473,8356,2025-06-12,19.99,credit_card,failed
464,6477,13486,2024-10-18,19.99,credit_card,failed
465,3971,4333,2025-06-05,199.99,credit_card,refunded
466,2353,5379,2024-04-16,9.99,credit_card,failed
467,3422,12868,2025-01-04,199.99,paypal,failed
468,8196,4912,2025-01-13,19.99,paypal,refunded
469,745,8882,2024-10-11,9.99,credit_card,failed
470,4967,3556,2023-07-23,9.99,paypal,refunded
471,6188,3023,2024-08-11,19.99,credit_card,failed
472,2769,1875,2024-03-01,199.99,paypal,refunded
473,230,13204,2024-05-29,199.99,credit_card,refunded
474,1792,11386,2023-09-17,19.99,paypal,success
475,6654,4361,2025-06-11,19.99,credit_card,refunded
476,3871,14324,2024-01-25,19.99,paypal,success
477,1750,4746,2023-12-01,19.99,credit_card,success
478,4196,6350,2024-11-20,9.99,credit_card,failed
479,4707,8065,2025-03-15,199.99,credit_card,refunded
480,665,11590,2024-02-24,9.99,paypal,failed
481,2519,2069,2024-07-01,199.99,paypal,success
482,432,8329,2024-01-05,19.99,credit_card,refunded
483,1816,3523,2024-02-07,199.99,credit_card,refunded
484,5510,859,2024-02-11,199.99,credit_card,refunded
485,131,9470,2025-02-17,19.99,credit_card,failed
486,9268,3582,2024-12-08,9.99,credit_card,refunded
487,6191,5277,2023-09-07,9.99,credit_card,refunded
488,9542,14630,2025-04-10,9.99,credit_card,failed
489,1646,8094,2024-08-01,9.99,credit_card,success
490,9027,11685,2024-12-27,199.99,paypal,refunded
491,741,8131,2025-04-14,9.99,credit_card,success
492,4910,8873,2025-06-21,9.99,credit_card,failed
493,359,8020,2025-07-02,199.99,credit_card,failed
494,1775,7414,2023-08-15,9.99,paypal,success
495,3366,11853,2024-12-14,19.99,credit_card,failed
496,9669,5387,2025-02-05,199.99,credit_card,failed
497,5137,3717,2023-11-18,199.99,paypal,refunded
498,1927,12622,2024-02-20,19.99,paypal,refunded
499,2750,9741,2023-09-22,9.99,credit_card,success
500,3309,6433,2025-01-22,199.99,credit_card,refunded
501,2995,14325,2024-10-01,9.99,paypal,success
502,6293,10057,2023-10-11,9.99,paypal,refunded
503,8292,2718,2025-03-10,199.99,credit_card,refunded
504,7390,8441,2024-05-28,19.99,credit_card,success
505,5503,6746,2024-07-13,199.99,credit_card,refunded
506,5524,5505,2024-02-20,9.99,paypal,success
507,40,7799,2025-05-25,9.99,credit_card,success
508,4770,840,2025-03-09,19.99,credit_card,success
509,176,10306,2023-07-29,19.99,paypal,failed
510,6491,5057,2024-11-06,9.99,paypal,success
511,5090,5270,2025-01-29,199.99,paypal,refunded
512,2164,9497,2023-11-09,9.99,paypal,failed
513,3370,8538,2023-10-21,9.99,credit_card,refunded
514,2772,13419,2024-04-05,9.99,paypal,failed
515,7506,14831,2024-07-23,19.99,credit_card,refunded
516,2194,11195,2024-06-16,9.99,credit_card,success
517,9253,8949,2024-06-01,9.99,credit_card,refunded
518,1171,10134,2024-08-18,9.99,credit_card,refunded
519,544,12282,2024-02-25,9.99,credit_card,success
520,8563,5352,2023-10-18,199.99,paypal,success
521,9972,13326,2025-03-21,9.99,credit_card,success
522,7615,8756,2023-07-20,9.99,credit_card,refunded
523,5112,6725,2023-11-25,199.99,credit_card,refunded
524,4551,6185,2025-05-21,9.99,credit_card,success
525,7614,8248,2024-01-10,9.99,paypal,refunded
526,369,4735,2025-06-19,19.99,paypal,success
527,3610,1425,2024-02-13,9.99,credit_card,success
528,8433,9723,2025-06-18,19.99,credit_card,success
529,681,14256,2024-01-26,19.99,paypal,refunded
530,6126,13601,2025-04-28,19.99,credit_card,failed
