id,user_id,subscription_id,promo_id,applied_date
109,171,3208,29,2023-10-23
110,862,1490,38,2023-09-12
111,378,10273,13,2025-07-04
112,5237,3301,25,2025-07-02
113,8914,4865,10,2024-08-14
114,1389,2731,23,2025-02-11
115,2824,7126,23,2024-04-14
116,8216,422,32,2024-10-15
117,6179,3398,21,2023-12-20
118,2782,9418,24,2024-10-07
119,9431,1623,25,2024-11-29
120,5110,13107,5,2023-11-13
121,3723,9928,15,2024-04-26
122,8515,1744,48,2025-06-24
123,5845,2514,24,2024-03-02
124,5091,2382,39,2023-10-27
125,979,8088,26,2025-04-28
126,2695,2108,34,2025-05-14
127,2277,6685,4,2023-11-12
128,3944,13733,14,2025-03-20
129,20,11910,34,2023-10-20
130,1118,14049,35,2023-07-26
131,5950,14770,24,2023-09-24
132,9580,14336,44,2024-09-25
133,1166,5241,46,2024-08-02
134,8127,2746,28,2024-05-06
135,8399,1449,22,2024-02-26
136,6270,12810,10,2024-01-07
137,6734,1393,23,2023-12-23
138,9282,8662,7,2023-09-06
139,7016,12933,18,2025-02-05
140,7337,8670,15,2025-02-20
141,7681,11756,11,2024-02-12
142,3973,4751,38,2023-09-01
143,7629,13416,20,2024-02-06
144,5704,5037,43,2024-07-14
145,1020,4057,13,2024-08-20
146,4834,14528,31,2023-12-04
147,7433,2813,1,2023-08-12
148,6993,8435,6,2025-06-22
149,6741,4841,48,2025-04-17
150,7129,1789,26,2024-11-08
151,6725,11969,48,2023-11-17
152,4909,6822,46,2025-03-17
153,1359,11952,33,2024-09-18
154,2857,11539,44,2024-09-03
155,3501,11993,26,2023-07-12
156,6780,4989,21,2023-08-11
157,7372,5926,32,2024-02-02
158,5657,13168,50,2025-05-31
159,5383,12717,13,2024-08-23
160,5381,13832,48,2023-10-31
161,228,13701,15,2024-01-16
162,3570,2829,32,2023-07-05
163,6173,13024,28,2024-09-23
164,3684,3895,18,2023-08-30
165,2154,11934,35,2024-06-15
166,3197,36,46,2024-02-25
167,4036,3462,40,2024-01-28
168,5287,7482,45,2025-02-22
169,7308,11934,25,2024-06-15
170,7803,5090,32,2023-09-26
171,5790,8749,18,2023-10-30
172,7738,13965,14,2023-09-15
173,9751,14290,45,2023-07-06
174,1198,3058,15,2024-08-01
175,2343,9334,32,2025-01-08
176,9328,14521,29,2025-04-08
177,8173,3005,49,2023-11-19
178,2491,1954,48,2024-05-30
179,3348,6962,43,2024-07-02
180,8856,4697,49,2023-12-06
181,8498,7047,20,2024-07-12
182,6052,13501,2,2023-10-21
183,5353,11256,36,2024-02-19
184,5476,4455,17,2023-11-08
185,8223,10236,37,2023-12-31
186,4963,11979,30,2025-01-21
187,6369,3871,50,2023-08-26
188,6929,12375,8,2025-06-01
189,5641,9731,34,2024-04-12
190,2601,13552,48,2023-12-31
191,4131,2683,37,2023-08-21
192,8916,4744,17,2024-11-20
193,326,5197,46,2023-11-13
194,1277,2374,7,2025-03-21
195,9679,11198,11,2023-11-20
196,2701,14171,49,2024-08-04
197,5469,449,42,2024-05-06
198,7232,13466,34,2023-08-12
199,2834,7996,4,2024-05-25
200,7576,5776,19,2024-01-20
201,4240,12778,44,2025-02-10
202,268,7658,9,2023-09-19
203,5878,5804,2,2024-08-29
204,5764,13627,6,2024-10-06
205,9175,14606,47,2024-10-14
206,4304,2712,26,2024-04-10
207,2577,7738,28,2025-03-24
208,9834,10342,11,2025-02-13
209,6126,8786,30,2025-03-05
210,3886,13059,34,2025-02-03
211,2327,14261,26,2024-02-14
212,9583,8753,45,2024-05-07
213,7131,10575,17,2024-11-07
214,365,737,22,2024-05-28
215,3824,12446,1,2025-01-26
216,2359,7192,19,2025-03-02
217,328,2573,6,2025-05-01
218,2708,10614,11,2025-01-17
219,3805,7511,33,2023-10-04
220,9532,4924,24,2023-09-30
221,2022,4196,41,2023-07-06
222,4754,3489,50,2023-08-01
223,8273,4943,25,2023-12-22
224,9634,9540,48,2024-06-09
225,5844,5518,27,2024-02-02
226,1789,7007,28,2024-07-27
227,5826,1152,33,2024-03-31
228,4053,4588,43,2025-02-02
229,7816,7127,30,2024-07-19
230,7274,14973,23,2024-10-01
231,9816,2033,40,2024-05-28
232,9564,5609,50,2023-11-30
233,561,6513,1,2025-04-03
234,4149,6362,13,2024-06-08
235,6800,3501,40,2024-12-28
236,4521,5033,4,2024-08-11
237,346,6909,35,2024-04-07
238,9625,623,9,2024-01-30
239,8061,14234,35,2024-09-27
240,8248,14874,5,2024-06-02
241,656,5914,22,2025-05-17
242,3674,13044,41,2025-04-29
243,7268,5711,22,2023-11-13
244,2742,12953,7,2024-10-20
245,4881,10559,34,2025-04-21
246,7836,2793,14,2023-09-21
247,8484,6244,36,2025-02-15
248,7192,11653,39,2024-12-13
249,1104,5016,34,2023-12-07
250,9343,6297,3,2025-03-21
251,4473,1315,47,2023-09-02
252,4317,10986,28,2023-09-01
253,9404,4213,1,2025-03-22
254,9315,2786,38,2025-01-17
255,2626,9842,7,2023-07-11
256,2605,1102,36,2023-07-23
257,1704,5629,21,2023-12-27
258,7612,286,27,2025-01-16
259,2633,10428,30,2024-12-31
260,1858,4395,31,2023-07-30
261,3147,7341,14,2025-07-03
262,7070,7639,3,2025-06-26
263,4640,8897,30,2024-01-09
264,307,12098,25,2023-10-27
265,8846,3254,8,2024-09-15
266,8145,2845,43,2024-08-15
267,3576,707,1,2023-08-01
268,544,10385,8,2025-03-11
269,6924,6517,24,2025-04-15
270,9031,10000,36,2024-06-13
271,1891,4926,2,2025-01-18
272,7243,13786,43,2023-10-31
273,3925,13835,12,2025-01-25
274,2563,4072,4,2023-07-14
275,2094,14425,27,2024-03-01
276,1600,14427,42,2025-05-04
277,7694,4298,45,2025-07-04
278,860,2879,31,2023-09-16
279,1785,13909,18,2025-02-16
280,2506,13030,35,2024-11-28
281,3169,10003,9,2024-02-29
282,5702,4592,31,2024-03-24
283,9128,9904,9,2024-10-04
284,7643,4914,32,2023-11-01
285,6563,1662,33,2024-07-04
286,6831,4581,9,2023-10-22
287,55,17,24,2024-01-30
288,1610,5379,50,2024-04-16
289,3183,4435,1,2024-01-26
290,335,10326,48,2024-10-26
291,4245,11355,28,2023-12-29
292,6619,12231,33,2023-09-05
293,3485,159,13,2023-09-06
294,7767,728,17,2023-08-26
295,209,10448,36,2023-12-16
296,2235,5855,5,2023-08-05
297,6031,2929,28,2025-02-12
298,9091,6983,49,2024-03-02
299,3752,9794,21,2023-09-23
300,5486,2348,45,2025-03-28
301,8324,148,21,2024-05-21
302,9506,5416,15,2024-12-09
303,6372,12687,23,2025-01-06
304,515,14779,40,2023-10-18
305,5665,6563,27,2025-02-23
306,6536,3530,25,2024-07-11
307,4561,2350,41,2024-12-08
308,6195,7766,3,2023-11-16
309,4542,13735,39,2025-05-06
310,7531,13513,50,2024-11-03
311,3941,5029,50,2023-07-19
312,1765,10673,1,2024-01-16
313,1283,8984,12,2024-10-12
314,4535,6629,41,2024-07-24
315,2986,6265,15,2023-10-01
316,9769,14709,6,2025-05-31
317,2158,3176,12,2023-09-01
318,9067,3235,49,2025-04-02
319,5456,9702,35,2023-09-06
320,7044,6140,43,2025-03-02
321,6101,2693,14,2024-10-21
322,9266,1221,30,2024-03-10
323,8324,12367,23,2023-09-30
324,8061,14401,2,2025-05-06
325,5610,6718,16,2024-01-07
326,1094,905,30,2023-10-07
327,7044,9766,28,2023-12-26
328,5090,10517,35,2023-12-16
329,2164,10491,20,2023-09-20
330,8795,11579,30,2024-08-18
331,6316,8969,36,2025-03-27
332,5673,13237,35,2024-04-11
333,5834,168,1,2025-03-15
334,9664,866,23,2025-06-16
335,44,14651,46,2023-08-31
336,1462,10270,9,2024-07-02
337,135,5380,48,2023-07-27
338,3331,13644,31,2023-10-01
339,5151,10252,48,2023-10-22
340,1067,1577,39,2023-10-18
341,9896,6592,4,2025-04-01
342,3763,7166,39,2024-05-11
343,2145,2468,29,2023-10-17
344,5941,1143,14,2024-08-04
345,7890,5690,7,2025-01-20
346,5244,8458,30,2023-10-25
347,2974,2204,19,2025-05-19
348,2442,6701,19,2024-06-26
349,5103,10181,31,2025-04-05
350,7550,14120,39,2023-08-08
351,9507,10952,26,2024-12-16
352,6474,5485,7,2023-08-12
353,8882,12294,20,2025-06-28
354,3505,2822,26,2024-01-19
355,5859,10760,3,2024-01-19
356,2551,7572,40,2024-06-01
357,2580,201,13,2024-10-08
358,7955,4158,32,2025-06-26
359,6519,7276,41,2024-02-08
360,8981,12393,27,2024-01-03
361,194,1177,49,2024-10-22
362,8549,3772,21,2025-06-07
363,6010,17,32,2024-01-30
364,5850,1869,27,2024-01-05
365,3044,13079,26,2023-09-15
366,1669,1447,27,2024-04-07
367,6251,4375,33,2023-09-19
368,4629,3425,4,2024-06-05
369,8398,12600,1,2024-06-02
370,724,4120,26,2024-10-25
371,1050,2420,43,2024-04-05
372,3703,557,48,2025-06-25
373,4936,13134,41,2025-07-03
374,6151,14470,11,2024-07-11
375,2925,6872,38,2025-05-11
376,671,13488,36,2024-01-19
377,7160,9058,11,2024-08-22
378,7588,1068,13,2025-06-03
379,312,4440,39,2023-09-15
380,1376,575,30,2025-06-17
381,3942,13224,9,2024-10-07
382,1777,2407,38,2024-06-07
383,2121,11643,22,2025-06-21
384,4413,13168,6,2025-05-31
385,5815,3735,47,2023-07-24
386,5030,712,2,2023-07-31
387,6242,10078,47,2025-06-10
388,2661,5477,25,2024-07-30
389,3949,9840,2,2024-05-27
390,4353,5210,14,2024-06-01
391,3505,6943,19,2023-08-25
392,8215,12347,29,2024-09-22
393,3301,8186,34,2024-11-18
394,6011,11869,5,2023-08-13
395,9035,9031,29,2024-10-12
396,5513,5661,15,2023-11-23
397,7797,3214,13,2024-01-29
398,7324,4164,48,2023-11-25
399,6956,10028,3,2024-01-02
400,184,13722,2,2025-04-19
401,2812,12103,31,2025-05-02
402,2799,10523,27,2024-03-29
403,6005,5111,16,2024-08-20
404,4478,1602,36,2025-02-09
405,4097,13605,47,2024-09-19
406,7386,2234,26,2023-10-19
407,8568,9371,36,2023-08-14
408,1047,4372,44,2024-11-30
409,8819,7717,27,2024-02-21
410,6350,11545,22,2024-09-08
411,7353,502,34,2023-07-29
412,6734,4770,46,2024-03-29
413,4745,9936,32,2023-07-25
414,7143,10173,30,2025-05-28
415,4613,5693,31,2024-12-22
416,9223,6094,3,2025-03-18
417,9333,1076,30,2023-09-07
418,1989,469,30,2024-01-07
419,5625,10734,28,2025-04-28
420,4487,14224,29,2023-09-08
421,8329,9738,37,2025-05-14
422,8152,3934,43,2023-08-07
423,1146,11837,24,2024-08-09
424,2453,14177,22,2024-01-28
425,38,4312,32,2023-07-26
426,9400,11441,5,2024-07-26
427,640,8969,30,2025-03-27
428,1560,2507,39,2025-06-29
429,6812,8912,48,2024-05-15
430,7805,9413,31,2024-08-21
431,4355,11595,33,2024-02-17
432,1194,4118,14,2025-05-15
433,2445,7201,19,2023-07-13
434,2329,124,3,2023-12-10
435,8316,8581,17,2025-04-23
436,6535,12219,16,2023-10-13
437,1723,4052,37,2025-06-07
438,6174,3533,41,2024-05-17
439,6355,14297,4,2024-01-07
440,6139,14515,29,2025-02-05
441,4653,1373,43,2023-12-18
442,1096,9770,25,2024-04-20
443,1981,12398,5,2023-10-24
444,9276,9825,3,2023-07-18
445,5873,8197,17,2024-06-27
446,4190,9561,16,2024-02-11
447,530,5651,7,2024-10-17
448,8033,4037,36,2024-05-20
449,727,2945,34,2024-03-10
450,1454,9417,5,2024-11-26
451,7925,4239,39,2024-12-10
452,5653,14890,25,2024-07-04
453,6028,13490,32,2024-03-13
454,6570,9693,25,2025-05-29
455,1215,10236,39,2023-12-31
456,2376,14843,1,2025-03-19
457,1466,4601,3,2024-11-23
458,1003,10669,16,2025-06-17
459,7935,14601,23,2025-03-01
460,7843,13921,40,2025-04-14
461,447,7448,31,2023-10-16
462,5399,6052,20,2024-04-18
463,6221,13616,49,2024-10-18
464,7494,3110,13,2024-07-18
465,1,9353,45,2024-05-03
466,9920,4737,46,2024-05-11
467,993,3382,33,2025-04-28
468,5055,1128,9,2024-07-20
469,5178,12393,10,2024-01-03
470,7005,10581,16,2024-03-20
471,1969,5299,35,2025-06-09
472,5144,12191,42,2024-03-09
473,5220,10206,19,2025-06-07
474,6480,4617,11,2023-11-28
475,4751,10825,37,2025-06-06
476,4911,7190,17,2024-05-06
477,7490,10725,31,2024-10-30
478,2460,11068,9,2025-01-05
479,5175,9782,13,2024-10-02
480,7134,12991,32,2024-07-18
481,9241,5093,10,2025-06-16
482,7040,12502,28,2024-08-28
483,4621,10238,37,2024-12-18
484,8691,11666,29,2024-04-04
485,6028,14318,17,2024-08-13
486,5733,9108,5,2024-01-17
487,9368,13517,37,2025-05-10
488,677,256,6,2024-08-06
489,9381,4943,6,2023-12-22
490,6997,14344,29,2024-08-12
491,5848,10527,43,2025-04-13
492,5641,8134,4,2023-09-22
493,3494,1543,46,2025-03-03
494,147,10260,10,2024-06-10
495,3007,11244,21,2023-10-27
496,2267,1269,30,2025-03-04
497,8361,2675,4,2025-04-16
498,9121,14338,11,2025-04-20
499,4996,720,44,2024-12-16
500,8013,7280,44,2023-11-12
501,8295,12597,14,2024-05-05
502,8122,5306,3,2023-08-26
503,2124,6739,30,2024-02-10
504,7664,10118,38,2023-11-15
505,5431,13309,37,2024-08-07
506,4439,534,14,2024-02-17
507,4249,3858,30,2023-11-26
508,7334,5097,41,2023-08-28
509,5687,2753,44,2023-12-26
510,4046,5725,17,2024-12-20
511,4202,8507,35,2025-05-10
512,9864,12577,21,2025-02-08
513,80,12839,15,2024-05-05
514,2118,10182,19,2025-06-12
515,1615,9911,38,2023-10-31
516,9718,6734,1,2023-09-06
517,2012,9303,8,2025-05-10
518,740,6677,34,2023-07-23
519,8069,1786,35,2025-01-06
520,2958,4709,38,2023-10-16
521,708,8749,48,2023-10-30
522,3229,2941,24,2024-07-30
523,3924,10391,50,2024-12-15
524,3013,2675,20,2025-04-16
525,5084,8106,1,2025-05-09
526,99,11455,6,2025-01-19
527,9810,14791,26,2025-03-21
528,9463,9730,4,2025-06-13
529,7173,14655,40,2024-08-20
530,3033,11849,6,2025-03-23
531,4548,2373,29,2023-09-04
532,695,10781,43,2024-07-30
533,7572,10376,49,2023-09-01
534,4136,2439,16,2023-09-20
535,5440,11806,43,2025-04-17
536,949,9677,50,2024-12-23
537,2058,11829,45,2024-04-12
538,8809,10940,10,2025-03-30
539,908,14251,48,2023-08-05
540,8139,3557,39,2023-09-08
541,4196,1938,3,2024-06-05
542,3463,10385,49,2025-03-11
543,8989,9487,46,2024-03-12
544,1477,12080,28,2023-10-03
545,8978,4462,39,2025-04-22
546,341,68,5,2025-04-05
547,1861,11018,27,2025-02-08
548,5248,1327,19,2024-04-13
549,7002,5241,4,2024-08-02
550,1637,12888,16,2024-09-28
551,9903,7137,23,2023-09-18
552,1121,7786,7,2024-07-23
553,2356,4983,43,2025-03-28
554,953,8324,19,2024-03-02
555,8156,14460,20,2023-07-20
556,2771,9317,42,2024-01-09
557,8513,4962,11,2024-08-17
558,4969,5620,9,2024-09-17
559,2193,4986,2,2024-10-08
560,8292,728,13,2023-08-26
561,9073,760,25,2024-01-27
562,5071,14732,50,2024-09-19
563,9399,2894,19,2024-11-07
564,7573,11341,43,2023-10-07
565,3587,6421,25,2023-07-14
566,8160,7037,22,2023-08-08
567,1931,13764,33,2023-11-03
568,6322,2974,28,2025-06-06
569,3140,3841,40,2024-09-10
570,4289,14327,44,2025-03-07
571,4112,5789,24,2024-06-13
572,2948,5789,49,2024-06-13
573,3740,13206,37,2024-10-09
574,1631,9137,37,2023-07-14
575,9728,309,49,2024-01-01
576,2325,10694,21,2024-05-03
577,545,1190,37,2024-07-05
578,580,1399,33,2024-06-18
579,2029,13596,21,2024-10-24
580,9023,14785,42,2024-05-01
581,456,14491,20,2023-12-14
582,8001,2882,41,2024-03-26
583,6756,8100,33,2023-09-21
584,4801,10763,11,2025-05-18
585,506,3523,39,2024-02-07
586,1616,3845,44,2024-06-28
587,6450,8519,30,2024-12-20
588,3256,3540,25,2024-04-06
589,4117,1833,43,2025-04-08
590,7537,5126,46,2024-05-12
591,2204,4514,43,2024-11-29
592,1098,1999,37,2024-01-29
593,6323,7354,24,2023-10-27
594,9287,5124,33,2023-08-18
595,4819,1531,25,2024-02-21
596,804,6095,47,2024-06-30
597,6731,14228,3,2024-06-15
598,4630,91,9,2024-03-07
599,8306,13289,1,2024-05-24
600,9637,9786,39,2023-12-07
601,7961,2507,22,2025-06-29
602,7044,1490,43,2023-09-12
603,5568,1991,35,2025-05-21
604,6309,6921,19,2025-01-13
605,572,12226,14,2024-07-10
606,7782,8842,25,2023-07-27
607,4226,8824,20,2023-12-14
608,2933,2777,9,2024-12-15
609,4979,7058,25,2025-05-21
610,9988,1151,30,2025-03-04
611,8783,10144,24,2025-02-05
612,8622,13758,37,2025-04-07
613,9010,1262,24,2023-07-27
614,2552,2675,3,2025-04-16
615,6859,11936,17,2023-10-17
616,786,11256,3,2024-02-19
617,658,9089,49,2025-02-28
618,619,5800,15,2024-09-03
619,9845,2420,32,2024-04-05
620,4131,9246,4,2024-04-11
621,7046,5163,46,2023-09-19
622,584,6671,41,2024-07-21
623,8721,10380,46,2024-01-17
624,40,6533,12,2024-05-17
625,2718,9507,25,2023-11-20
626,2201,6443,20,2025-07-03
627,495,10984,18,2024-04-24
628,107,4115,13,2023-11-12
629,8719,14500,44,2024-03-14
630,7555,6457,12,2023-08-10
631,6289,2118,50,2024-04-09
632,5469,13751,39,2023-11-08
633,6251,7590,11,2025-04-20
634,8071,12846,41,2024-05-16
635,7758,6866,30,2024-05-20
636,9508,1272,49,2023-11-09
637,5944,10390,50,2023-08-18
638,1926,4713,29,2024-07-09
639,3158,2540,40,2024-12-21
640,5297,8083,24,2024-03-22
641,6065,581,35,2024-01-02
642,5394,10923,5,2025-02-23
643,6683,12927,19,2024-10-14
644,7730,2897,37,2024-11-24
645,5449,7465,19,2025-01-01
646,6489,3125,5,2024-12-27
647,8206,520,8,2025-04-04
648,1602,13494,8,2024-05-27
649,2901,10302,21,2023-09-13
650,7038,12698,4,2024-12-10
651,2475,12257,18,2024-09-21
652,2983,6281,31,2024-09-28
653,1634,255,34,2024-09-12
654,9849,1254,4,2024-01-21
655,7278,10244,8,2023-09-17
656,5682,7589,18,2025-04-13
657,5107,8467,44,2023-08-14
658,6014,14587,44,2025-06-07
659,5462,2925,49,2025-01-13
660,5723,12896,29,2024-01-26
661,1572,7990,17,2023-09-19
662,3702,12667,13,2025-01-21
663,7307,4990,45,2024-10-04
664,7142,1098,22,2023-07-24
665,4883,14355,48,2024-10-13
666,9917,827,14,2024-04-06
667,2466,1312,16,2024-01-11
668,1421,3244,5,2024-01-19
669,9288,18,41,2024-08-03
670,387,6037,24,2025-01-12
671,1042,9899,49,2024-09-20
672,3687,12515,30,2024-02-17
673,2570,10362,44,2024-04-24
674,3281,13595,31,2024-03-27
675,7014,11997,43,2025-04-05
676,8599,7502,47,2025-04-29
677,9911,10990,39,2024-12-17
678,4060,10247,48,2024-07-01
679,323,9107,46,2025-06-19
680,8102,6477,26,2024-03-13
681,6076,10218,33,2025-02-25
682,7756,8752,36,2023-12-26
683,5005,10140,11,2025-01-05
684,3381,5510,42,2023-09-08
685,6675,6289,19,2023-10-16
686,5900,3505,26,2024-07-30
687,5920,5619,28,2024-07-23
688,2807,8617,19,2024-01-11
689,1427,5456,30,2024-04-12
690,6122,9810,23,2023-08-04
691,7811,11247,33,2024-12-12
692,8086,14274,30,2023-12-18
693,2068,7984,49,2025-06-08
694,7830,4433,15,2024-05-18
695,3590,2812,33,2024-12-26
696,5483,401,28,2024-12-12
697,8479,9418,49,2024-10-07
698,7337,7964,24,2024-12-08
699,920,4021,23,2024-03-08
700,2161,12573,37,2025-05-15
701,338,14354,9,2023-10-09
702,2364,10859,26,2024-12-08
703,1557,2527,46,2023-12-12
704,4401,422,50,2024-10-15
705,5711,4301,21,2024-12-22
706,9697,9023,16,2024-01-29
707,7179,10561,18,2024-02-23
708,5152,7781,4,2025-04-14
709,9025,11413,35,2024-08-09
710,5197,5719,37,2025-02-18
711,2728,13609,30,2024-11-01
712,7829,13309,19,2024-08-07
713,1065,10406,43,2024-10-10
714,4771,4690,45,2025-04-28
715,8733,7998,24,2024-08-03
716,7309,7803,9,2024-05-23
717,3966,3855,19,2024-03-12
718,4178,5500,31,2024-05-09
719,2666,4832,15,2024-02-17
720,2078,6089,44,2024-11-08
721,7369,2434,26,2025-03-14
722,5427,3684,19,2024-02-08
723,4388,7888,49,2025-03-17
724,3024,12057,19,2024-12-13
725,3964,13079,13,2023-09-15
726,8457,4419,29,2023-08-23
727,4535,7455,12,2025-06-24
728,6388,12668,9,2024-08-28
729,8347,6698,5,2025-05-02
730,826,11853,44,2024-12-14
731,9184,7341,25,2025-07-03
732,7237,2365,42,2024-05-27
733,9431,6275,30,2024-06-30
734,2645,11971,11,2024-12-18
735,4049,8631,22,2025-03-17
736,152,13934,23,2023-07-06
737,3752,978,24,2025-05-01
738,5931,8944,15,2024-10-13
739,8058,7980,33,2024-11-11
740,7350,14774,48,2025-02-22
741,5399,6593,48,2024-01-12
742,4868,12396,43,2025-04-03
743,6794,8786,45,2025-03-05
744,9037,8631,35,2025-03-17
745,7098,4283,15,2023-11-08
746,5067,3298,38,2025-01-10
747,9238,2301,15,2024-04-27
748,1576,14624,43,2023-08-24
749,3606,5019,18,2024-07-16
750,6884,740,33,2024-01-24
751,6752,4647,40,2023-12-01
752,9738,866,40,2025-06-16
753,5471,14573,36,2024-12-10
754,2851,7243,20,2024-04-18
755,7604,6949,19,2024-05-11
756,6954,7914,9,2025-04-30
757,945,321,35,2025-02-25
758,2460,11277,14,2023-08-15
759,3845,7108,31,2024-02-16
760,2594,9484,22,2025-02-07
761,8357,14969,5,2024-03-22
762,5326,3357,13,2024-11-03
763,2997,8462,8,2023-09-01
764,4690,261,11,2025-04-12
765,9322,12726,40,2024-05-22
766,9080,6708,28,2024-12-06
767,2086,9478,12,2024-10-24
768,8996,1242,20,2023-11-20
769,622,5950,23,2024-04-08
770,4891,12180,30,2025-01-05
771,3873,13900,10,2024-11-16
772,8140,5916,7,2024-11-14
773,1676,6355,47,2024-10-13
774,950,3577,44,2024-03-23
775,8132,1192,36,2024-07-14
776,7363,14852,50,2024-08-10
777,1789,11800,47,2025-01-05
778,9708,10390,2,2023-08-18
779,9939,11113,47,2024-11-26
780,9587,14367,9,2024-07-01
781,9531,1867,23,2024-10-19
782,5629,5843,30,2024-11-30
783,5484,2830,18,2024-04-06
784,9239,1117,5,2024-01-27
785,3486,10163,50,2023-08-21
786,4770,2796,40,2024-11-24
787,5797,9047,38,2025-01-28
788,2216,9960,46,2023-08-16
789,7515,7011,1,2024-06-25
790,4807,5070,48,2024-10-29
791,5684,457,27,2024-03-04
792,2184,10036,41,2024-12-09
793,5221,14071,12,2023-10-21
794,6085,12198,47,2024-08-08
795,4865,12595,29,2023-11-05
796,2633,5723,5,2024-08-26
797,9190,3361,12,2024-05-14
798,3990,13050,18,2025-03-05
799,6386,13216,22,2024-01-19
800,3364,9762,42,2023-12-01
801,9513,5676,42,2024-02-02
802,8947,1998,46,2023-08-20
803,3290,10002,29,2023-08-05
804,1996,11792,41,2024-10-14
805,1872,11148,24,2023-12-24
806,6480,13284,1,2023-10-18
807,8457,4839,5,2024-01-29
808,9537,9704,12,2024-03-28
809,4847,9681,14,2024-09-05
810,1545,10553,40,2023-12-04
811,7677,3987,42,2024-08-28
812,1711,7004,39,2025-06-13
813,3805,247,19,2023-08-31
814,4015,13987,15,2025-01-20
815,5778,163,36,2024-04-28
816,5390,6600,10,2024-11-18
817,4711,1289,11,2025-07-04
818,9003,7015,6,2024-05-31
819,5572,13582,5,2024-06-13
820,9338,3992,19,2024-04-23
821,9340,14839,42,2023-08-27
822,368,3755,9,2025-05-20
823,6301,14422,22,2025-04-16
824,7714,6785,39,2024-08-13
825,6620,4788,9,2024-01-17
826,391,6247,14,2023-09-15
827,4348,8007,42,2023-08-16
828,7882,11499,24,2023-08-23
